tree_id,accession_number,common_name,scientific_name,additional_taxonomy,dbh,quantity,latitude,longitude,source,community_tag,memorial,age_class,condition_class,date_planted,date_inventoried,tree_asset_value
1071,971-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,13,,41.8334626,-87.62637817,Unknown,,,Semi- mature,Good,,,3640.33
1072,972-2022 U,Oak-Bur,Quercus macrocarpa,,9,,41.833409047,-87.626418782,Unknown,,,Semi- mature,Good,,,1602.34
1073,973-2022 U,Ash-Green,Fraxinus pennsylvanica,,12,,41.833354295,-87.626382574,Unknown,,,Semi- mature,Poor,,,1329.35
1074,974-2022 U,Hackberry,Celtis occidentalis,,3,,41.83329958,-87.626388,Unknown,,,Young,Good,,,193.86
1075,975-2022 U,Kentucky Coffeetree,Gymnocladus dioicus,,6,,41.83322056,-87.626398564,Unknown,,,Semi- mature,Good,,,775.45
1076,976-2022 U,Elm-American,Ulmus americana,,12,,41.833153794,-87.626383106,Unknown,,,Semi- mature,Fair,,,1582.56
1077,977-2022 U,Ash-Green,Fraxinus pennsylvanica,,16,,41.833242475,-87.626413782,Unknown,,,Semi- mature,Poor,,,2363.29
1078,978-2022 U,Ash-Green,Fraxinus pennsylvanica,,16,,41.832961105,-87.626363651,Unknown,,,Semi- mature,Fair,,,3938.82
1079,979-2022 U,Oak-Bur,Quercus macrocarpa,,10,,41.832887559,-87.626383131,Unknown,,,Semi- mature,Good,,,1978.2
1080,980-2022 U,Ash-Green,Fraxinus pennsylvanica,,20,,41.832740813,-87.626359731,Unknown,,,Semi- mature,Fair,,,6154.4
1081,981-2022 U,Ash-Green,Fraxinus pennsylvanica,,20,,41.83265188,-87.62637863,Unknown,,,Semi- mature,Fair,,,6154.4
1082,982-2022 U,Ash-Green,Fraxinus pennsylvanica,,16,,41.8325661,-87.62638555,Unknown,,,Semi- mature,Fair,,,3938.82
1083,983-2022 U,Ash-Green,Fraxinus pennsylvanica,,8,,41.83251003,-87.62641462,Unknown,,,Semi- mature,Good,,,984.7
1084,984-2022 U,Ash-Green,Fraxinus pennsylvanica,,18,,41.83246405,-87.6263732,Unknown,,,Semi- mature,Fair,,,4985.06
1085,985-2022 U,Oak-Bur,Quercus macrocarpa,,8,,41.832407776,-87.626379793,Unknown,,,Semi- mature,Fair,,,904.32
1086,986-2022 U,Ash-Green,Fraxinus pennsylvanica,,22,,41.83234443,-87.62635935,Unknown,,,Semi- mature,Fair,,,5319.16
1087,987-2022 U,Ash-Green,Fraxinus pennsylvanica,,15,,41.832248421,-87.626349699,Unknown,,,Semi- mature,Poor,,,2077.11
1088,988-2022 U,Oak-Bur,Quercus macrocarpa,,13,,41.83221325,-87.62641132,Unknown,,,Semi- mature,Good,,,3343.16
1089,989-2022 U,Catalpa-Northern,Catalpa speciosa,,16,,41.83214005,-87.62638022,Unknown,,,Semi- mature,Good,,,3938.82
1090,990-2022 U,Ash-Green,Fraxinus pennsylvanica,,12,,41.832187671,-87.6263388,Unknown,,,Semi- mature,Fair,,,2215.58
